Product Title,Product URL,Product Image,Old Price,New Price,Discount Price,Discount Percentage
Aloe Vera Soothing & Moisturizing Gel,https://saeedghani.pk/collections/skin-care/products/aloe-vera-moisturizing-gel-tube,https://saeedghani.pk/cdn/shop/products/Aloe-Vera-Gel-Tube-100ml_300x.jpg?v=1750941228,,Rs. 300,,
Vitamin C Oil-Free Daily Moisturizing Gel,https://saeedghani.pk/collections/skin-care/products/vitamin-c-face-body-gel,https://saeedghani.pk/cdn/shop/products/vitaminCgel1000x1000_300x.jpg?v=1750941216,,Rs. 400,,
Aloe Vera Oil-Free Daily Moisturizing Gel,https://saeedghani.pk/collections/skin-care/products/aloevera-gel,https://saeedghani.pk/cdn/shop/products/Aloe-Vera-Gel-180gm_1024x1024_b549e8a9-fec8-47a7-af9b-0f731822f277_300x.jpg?v=1750941414,,Rs. 400,,
Whitening Face Cleanser,https://saeedghani.pk/collections/skin-care/products/whitening-face-cleanser-180gm,https://saeedghani.pk/cdn/shop/products/Whitening-Face-Cleasner-180gm_300x.jpg?v=1750941423,,Rs. 450,,
Multani Mud Powder for Skin - Saeed Ghani,https://saeedghani.pk/collections/skin-care/products/multani-mud-powder-100gm,https://saeedghani.pk/cdn/shop/products/MultaniMudPowder_300x.jpg?v=1750941400,,Rs. 300,,
Sandalwood Face Mask,https://saeedghani.pk/collections/skin-care/products/sandal-wood-powder-25gm,https://saeedghani.pk/cdn/shop/products/SandalPowder_300x.jpg?v=1750941399,,Rs. 280,,
Husn-e-Yousuf Face Mask,https://saeedghani.pk/collections/skin-care/products/husn-e-yousuf-powder,https://saeedghani.pk/cdn/shop/products/husneyusufpowder_300x.jpg?v=1750941413,,Rs. 240,,
Vitamin C Orange Peel Powder,https://saeedghani.pk/collections/skin-care/products/orange-peel-powder,https://saeedghani.pk/cdn/shop/products/orange-peal-powder_300x.jpg?v=1750941225,,Rs. 240,,
Zafrani Ubtan 100gm,https://saeedghani.pk/collections/skin-care/products/zafrani-ubtan-100gm,https://saeedghani.pk/cdn/shop/products/ZafraniUbtanBox_300x.jpg?v=1750941407,,Rs. 240,,
Khas Sandal Ubtan 100gm,https://saeedghani.pk/collections/skin-care/products/khas-sandal-ubtan-100gm,https://saeedghani.pk/cdn/shop/products/KhasSandalUbtanBox_300x.jpg?v=1750941391,,Rs. 220,,
Rose With Aloe Vera,https://saeedghani.pk/collections/skin-care/products/rose-with-aloe-vera,https://saeedghani.pk/cdn/shop/products/Aloe-Vera-Rose-Water-120ml-New_300x.jpg?v=1748262945,,Rs. 240,,
Rice Handmade Soap,https://saeedghani.pk/collections/skin-care/products/rice-soap,https://saeedghani.pk/cdn/shop/products/RiceSoap_300x.jpg?v=1750941422,,Rs. 280,,
Goat Milk Soap - Saeed Ghani ,https://saeedghani.pk/collections/skin-care/products/goat-milk-soap-90gm,https://saeedghani.pk/cdn/shop/products/GoatMilkSoap_300x.jpg?v=1750941412,,Rs. 280,,
Sandal Soap,https://saeedghani.pk/collections/skin-care/products/sandal-soap-150gm,https://saeedghani.pk/cdn/shop/products/Sandal-Soap-150-gm_300x.jpg?v=1750941403,,Rs. 250,,
Anti Acne 100% Pure Neem Handmade Soap,https://saeedghani.pk/collections/skin-care/products/neem-soap-handmade-90gm,https://saeedghani.pk/cdn/shop/products/Neem-Soap-Hand-Made-90gm_300x.jpg?v=1750941402,,Rs. 280,,
Pack of 4 Soaps,https://saeedghani.pk/collections/skin-care/products/pack-of-4-soaps,https://saeedghani.pk/cdn/shop/files/Pack-of-4-Soaps_300x.jpg?v=1733816244,Rs. 840,Rs. 672,Rs. 168,-20%
Goat Milk Soap - Saeed Ghani ,https://saeedghani.pk/collections/skin-care/products/goat-milk-soap-75gm,https://saeedghani.pk/cdn/shop/products/GoatMilkSoap75gm_300x.jpg?v=1750941212,,Rs. 170,,
Pure Anti Acne Neem Soap,https://saeedghani.pk/collections/skin-care/products/pure-100-antibacterial-neem-soap,https://saeedghani.pk/cdn/shop/products/Pure-100_-Antibacterial-Neem-Soap-75gm_300x.jpg?v=1750941426,,Rs. 170,,
Aloe Vera Soap - Saeed Ghani ,https://saeedghani.pk/collections/skin-care/products/aloevera-soap-75gm,https://saeedghani.pk/cdn/shop/products/AloeveraSoap_300x.jpg?v=1750941427,,Rs. 170,,
Neem Plus Cooling Handmade Soap,https://saeedghani.pk/collections/skin-care/products/neem-plus-soap-90gm,https://saeedghani.pk/cdn/shop/products/Neem-Plus-Soap-90gm_300x.jpg?v=1750941418,,Rs. 320,,
Ubtan Soap,https://saeedghani.pk/collections/skin-care/products/ubtan-soap,https://saeedghani.pk/cdn/shop/products/UbtanSoap75gm_300x.jpg?v=1750941211,,Rs. 170,,
Charcoal Soap - Saeed Ghani ,https://saeedghani.pk/collections/skin-care/products/charcoal-soap-100gm,https://saeedghani.pk/cdn/shop/products/CharcoalSoap_300x.jpg?v=1750941436,,Rs. 280,,
Bundle of 4 Soaps at the price of 3,https://saeedghani.pk/collections/skin-care/products/bundle-of-4-soaps-at-the-price-of-3,https://saeedghani.pk/cdn/shop/files/4Soap150gm_d4b38907-0e82-455b-917f-047075f1abc9_300x.jpg?v=1723201605,Rs. 1120,Rs. 896,Rs. 224,-20%
Goat Milk Face Wash,https://saeedghani.pk/collections/skin-care/products/goat-milk-face-wash,https://saeedghani.pk/cdn/shop/products/goatmilkfacewash_300x.jpg?v=1746188173,,Rs. 280,,
Neem Face Wash,https://saeedghani.pk/collections/skin-care/products/neem-face-wash,https://saeedghani.pk/cdn/shop/products/neem-face-wash_300x.jpg?v=1748262935,,Rs. 280,,
Ubtan Face Wash,https://saeedghani.pk/collections/skin-care/products/ubtan-face-wash,https://saeedghani.pk/cdn/shop/products/ubtanfacewash_300x.jpg?v=1748262958,,Rs. 280,,
Sandal Face Wash,https://saeedghani.pk/collections/skin-care/products/sandal-face-wash-60ml,https://saeedghani.pk/cdn/shop/products/Sandal-Face-Wash-60ml_300x.jpg?v=1748262953,,Rs. 280,,
Bundle of 4 Face Washes 50ml,https://saeedghani.pk/collections/skin-care/products/bundle-of-4-face-washes-at-the-price-of-3-60ml,https://saeedghani.pk/cdn/shop/files/Bundle_of_4_face_washes_at_the_price_of_3_50ml_300x.jpg?v=1747644375,Rs. 1190,Rs. 999,Rs. 191,-16%
Pure Glycerin - Saeed Ghani ,https://saeedghani.pk/collections/skin-care/products/pure-glycerin,https://saeedghani.pk/cdn/shop/products/PureGlycerine_300x.jpg?v=1750941215,,Rs. 180,,
Rose Water,https://saeedghani.pk/collections/skin-care/products/rose-water,https://saeedghani.pk/cdn/shop/products/Rose-Water-700ml_300x.png?v=1750941395,,Rs. 500,,
Khas Sandal Ubtan 50gm,https://saeedghani.pk/collections/skin-care/products/khas-sandal-ubtan-50gm,https://saeedghani.pk/cdn/shop/products/ubtan60ml_300x.png?v=1750941438,,Rs. 150,,
Special Ubtan Powder,https://saeedghani.pk/collections/skin-care/products/special-ubtan-powder-whitening-100gm,https://saeedghani.pk/cdn/shop/products/SpecialUbtanPowder_300x.jpg?v=1750941393,,Rs. 240,,
Rose Oil - Saeed Ghani ,https://saeedghani.pk/collections/skin-care/products/rose-oil,https://saeedghani.pk/cdn/shop/products/rose-oil_eba70bc8-5213-4297-9bef-1c83e0f06316_300x.jpg?v=1750941217,,Rs. 300,,
Hair Removal Cream (With Aloe Vera & Vitamin E),https://saeedghani.pk/collections/skin-care/products/hair-removal-cream-with-aloe-vera-vitamin-e,https://saeedghani.pk/cdn/shop/products/hairremovelcream_300x.jpg?v=1750941230,,Rs. 320,,
Hair Removal Cream,https://saeedghani.pk/collections/skin-care/products/hair-removal-cream-50ml,https://saeedghani.pk/cdn/shop/products/whitebackground_0977f2d5-a6f4-49e4-b478-64d844674f00_300x.jpg?v=1750941431,,Rs. 320,,
Hair Removal Cream (With Shea Butter),https://saeedghani.pk/collections/skin-care/products/hair-removal-cream-with-shea-butter,https://saeedghani.pk/cdn/shop/products/hairremovelcream100ml_300x.jpg?v=1750941224,,Rs. 420,,
Bundle of 4 Hair Removal Cream at the price of 3,https://saeedghani.pk/collections/skin-care/products/bundle-of-4-hair-removal-cream-at-the-price-of-3,https://saeedghani.pk/cdn/shop/products/Pack-of-4-HRC-at-the-price-of-3-DEc_a96fd774-a7f4-4a88-b354-3d57fa85f229_300x.jpg?v=1640179024,Rs. 1280,Rs. 1024,Rs. 256,-20%
Black Mehndi - Saeed Ghani ,https://saeedghani.pk/collections/skin-care/products/black-mehndi-10gm,https://saeedghani.pk/cdn/shop/products/BlackMehndi_300x.jpg?v=1750941529,,Rs. 240,,
Brown Mehndi - Saeed Ghani ,https://saeedghani.pk/collections/skin-care/products/brown-mehndi,https://saeedghani.pk/cdn/shop/products/BrownMehndi_300x.jpg?v=1750941530,,Rs. 240,,
Original Mehndi Pouch,https://saeedghani.pk/collections/skin-care/products/original-mehndi-pouch-100gm,https://saeedghani.pk/cdn/shop/products/originalmehndi_eefd11d5-1283-4be7-8b08-212e66f6a751_300x.jpg?v=1750941531,,Rs. 280,,
